POR_CP,DISTANCIA,RITMO,FREC_CARDIACA,CADENCIA,TSC,FP,LSS,OSC_VERTICAL,L_ZANCADA,RFP,RLSS,ROV,RE,AIRE,PENDIENTE,ALTITUD,DESNIVEL,RSS,DURACION
83.944,1500,483,152,165,327,68,11.5,5560,0.753,37.158,140.243,7.413,0.928,1,0,9,12,12,724
84.862,1500,475,159,164,331,68,11.3,5600,0.771,36.756,137.804,7.272,0.935,0,0.4,12,15,12,711
85.321,1500,471,161,167,325,67,11.5,5450,0.762,36.021,140.243,7.171,0.935,1,0.1,11,8,12,707
75.229,1500,534,129,160,344,66,12,5550,0.699,40.243,146.341,7.816,0.932,1,0.3,8,9,9,804
76.146,2000,525,131,161,341,66,12,5500,0.709,39.759,146.341,7.746,0.094,1,0.2,8,12,12,1051
82.568,2000,495,147,165,330,67,11.8,5510,0.735,37.222,143.902,7.445,0.921,1,0.2,10,19,15,989
84.403,2000,477,157,164,331,68,11.3,5600,0.768,36.956,137.804,7.272,0.936,0,0.1,11,16,16,952
82.568,2000,480,160,166,329,67,11.6,5440,0.754,37.222,141.463,7.157,0.951,1,-0.1,12,9,15,958
77.522,3000,519,135,162,339,67,11.9,5500,0.715,39.644,145.121,7.638,0.936,1,0.1,9,20,19,1554
84.403,3000,479,155,164,329,68,11.4,5580,0.764,36.956,139.024,7.246,0.931,1,0.2,11,27,24,1436
79.357,4000,510,139,163,336,67,11.9,5510,0.721,38.728,145.121,7.652,0.929,1,0.2,9,31,28,2040
83.486,4000,478,159,165,330,67,11.4,5520,0.76,36.813,139.024,7.263,0.942,0,0,11,25,31,1913
81.651,7280,494,148,164,333,67,11.7,5530,0.74,37.64,142.682,7.472,0.932,1,0.2,10,53,54,3595
80.733,350,450,139,164,315,71,11.3,6080,0.81,40.34,137.804,7.414,1.032,0,-4400,35,0,2,158
82.11,1000,496,133,161,327,69,12,5810,0.751,38.547,146.341,7.545,0.923,0,0.8,40,10,8,496
80.733,920,496,144,163,330,69,11.7,5780,0.744,39.204,142.682,7.706,0.942,0,-0.4,28,5,7,455
81.651,920,504,148,162,333,69,11.9,5850,0.735,38.764,145.121,8.013,0.915,0,0.6,29,9,7,463
90.366,770,529,158,163,330,69,12.7,5780,0.696,35.025,154.878,8.376,0.787,0,4100,46,31,9,407
83.944,1420,460,154,166,314,69,11.5,5710,0.787,37.704,140.243,7.32,0.975,0,-1400,47,11,11,652
82.568,1000,489,143,162,327,70,11.8,5980,0.757,38.888,143.902,7.868,0.931,0,-0.5,50,13,8,489
81.192,1000,489,143,163,328,69,11.7,5820,0.752,38.983,142.682,7.657,0.947,0,-0.9,29,5,7,489
81.651,1000,503,148,162,333,69,11.8,5850,0.736,38.764,143.902,8.013,0.915,0,0.4,28,9,8,503
88.532,1000,511,157,163,328,69,12.4,5780,0.72,35.751,151.219,8.027,0.831,0,2900,48,31,10,511
83.486,1000,453,153,166,312,69,11.3,5760,0.797,37.912,137.804,7.384,0.994,0,-1800,46,8,7,453
86.238,210,525,156,167,316,68,12.2,5560,0.685,36.17,148.78,7.22,0.832,0,1100,40,3,2,110
83.486,1430,506,137,161,329,69,12.1,5850,0.736,37.912,147.56,7.8,0.889,0,1500,44,23,12,724
82.11,750,491,128,161,326,68,11.9,5760,0.763,37.988,145.121,7.578,0.938,0,0.7,39,8,6,366
84.862,750,522,146,161,333,70,12.3,5930,0.714,37.837,150,8.352,0.085,0,2100,50,16,7,391
79.357,750,453,139,164,318,71,11.3,6020,0.807,41.04,137.804,7.432,1.045,0,-3900,42,0,5,340
81.192,750,499,144,163,330,69,11.8,5770,0.74,38.983,143.902,7.797,0.931,0,-0.2,28,5,6,373
81.651,750,501,146,162,332,69,11.8,5890,0.736,38.764,143.902,7.959,0.916,0,0,28,6,6,377
86.697,750,525,155,162,331,69,12.5,5780,0.705,36.507,152.439,8.257,0.825,0,2800,36,21,7,394
86.697,750,475,156,165,322,69,11.8,5780,0.761,36.507,143.902,7.506,0.908,0,0.6,56,14,7,358
83.486,750,456,153,166,311,69,11.3,5720,0.79,37.912,137.804,7.24,0.985,0,-1500,44,8,6,343
83.486,1500,506,138,161,330,69,12.1,5850,0.736,37.912,147.56,7.905,0.089,0,1400,44,24,13,759
